,review_title,review_text,class
91,money heist joie vivre,series prt bid dieu professor chrismtic gng hve qulms dmitting tht best possible ending one could hve hoped prt ending seson even stylish thn previous instllments fter sesons rgubly convincing one bckup pln bckup pln possibly trick tht wins hert not going revel much tht would spoiler must dmit times strted feeling escping gng mstermind professor lredy plnned going rect everything filed tht msterstroke english version brillint dilogues rquel murillo lwys brethtkingly beutiful professor needless suve clssy best role alici biggest surprise show thnkfully prt one die end hppy ending hve lredy discussed pros cons series length not going reiterte tke word grnd finle loved web series ever not disppoint whole series money heist first ired spin not hve mny dmirers mde shoestring budget show verge outing mkers withdrw show fter first seson journey till dte phenomenl owing outrgeous populrity chrcters show ever since netflix undertook uphill tsk crrying show forwrd money heist gining cult sttus every pssing seson following seen meteoric rise populrity reviewing totl forty one episodes spred cross four hlf sesons not esy job money heist tody not mere web series celebrtion festivl extrvgnz cult wnt prt guilt wnt nurture within first thing first money heist perfect work indeed full goof ups countless loose ends fct problem continuity series storyline never mde one script developed shooting going jeoprdized pce story numerous occsions certin scenes hve poorly inserted min story tht tend get devited bseline problem editing mny occsions episodes hve delibertely protrcted without dding new dimension min story idels promoted show live thin grounds communist innuendos inconclusive vgue suffer lck subtlety numerous references nti cpitlist nture heist none ctions protgonists justifies belief exorbitnt use red one show lenience ctions not well hnd hnd color coding outdoor scenes bring necessry relief clustrophobic stifling sets heists cmer works inside bnks hve drwn inspirtion likes godfther scrfce use color entire show meger therefore unppeling times chrcter portryl nother series suffers miserbly importnt chrcters like plermo arturo surez angel stockholm poorly portryed devite arctic antrctic seconds times chrcter development thin tht borderlines nnoynce spnish forces hve portryed clowns throughout series imbecility police rmy ntionl intelligence mke lugh times mny scenes science lst thing mkers minds tents built investigtion look ludicrous protestors outside bnk not mentioning bloopers like entry tokyo bnk numerous bullet shots even touched men could not hrm necessry continue show mny flws show would not hve lsted thn two sesons money heist fter four hlf sesons still ruling herts udiences cross globe even though stunch critic techniclities show cnnot wit december come show expected hve grnd finle actully certin res money heist scores mny points tht succeeds overshdowing weknesses let discuss brighter spects alvro morte professor mstermind behind heists brillint suve restrined exubertes right dose emotionl punches series needed mnnerisms mgnetic personlity chrming emotions cnnot love powerful ppels moment restrins killing mother rquel ctully strt loving chrcter tht love grows every pssing moment itzir ituno rquel murillo likeble smiles sty even fter end credits ech episode strt rolling moments dores professor scintillting chemistry professor rquel lisbon one crdinl binding forces money heist ursul corbero tokyo fscinting powerhouse bundnt energy show bosts pedro alonso berlin njw nimri alici alb flores nirobi jime lorente denver hve something love hte respective chrcters reltionships tht keep show flot deth periodic meticulously timed throughout series ech seson sees one protgonists bidding dieu mintins necessry momentum show fct deth scenes beutifully crfted tht becomes difficult keep eyes dry feeling letting tht helps money heist score mximum points emotionl octne high tht supersedes technicl glitches iconic web series crdinl reson gigntic success interpersonl reltionships principl chrcters delictely delt tht condone mkers fults mde elsewhere celebrtion reltionship touches right strings herts viewers much tht forget difference good right wrong unjust strt rooting robbers money heist celebrtion love friendship brotherhood celebrtion wht gives iconic sttus show lden brillint music mzing bckground scores melodies sty long fter hve completed episodes overll money heist something everybody even though lcks brin sensulity intermingled drenline rush going cptivte bell cio not stop loving origmis mde professor cool,2
92,great series,money heist prt netflix finl seson mzing series prt continues gng cught middle stndoff trying buy time melt gold bnk reserve chrcters return otherwise predictble finle twists long wtching finle noticed similrity nother gret movie die hrd difference tht john mcclne not exist series noticed plermo sitting cross mrine commnder tells plermo tht terrorists trying rob country hns gruber questioned sme mnner nkmoni not relizing stel bonds vult although udience wtching die hrd not rooting hns fns money heist could not wit see tem going escpe clutches tmyo another thing tht bothered wht professor write nephew relese possession gold overll gret series expected something ending something powerful not slow sequence wlk sunset definitely must see series one rewtch son,2
93,average,plot similr prison brek version could not wit next episodes prison brek one ehhh,0
94,good years old,relly truely not get brillint reviews relly hve suspend logic well sci lock months plnning heist within first hour hve mnge let teenge girl get ccess phone leve people unsupervised run round bnk going soft cptives ridiculous,1
95,could one time greatest,ccompnied show since becme globl phenomenon first two sesons plce heist movies shows whole level customs chrcters set cinemtogrphy every thing brillintly mde concept portryed mny times throughout yers one cretive pproches seen course possible becuse engging mzingly portryed professor chrcter highly intelligent individul tht due pst mong resons mster mind behind ssult royl mint spin country prints moneythe plnning methodology ssult mzing throughout first sesons even see elements tension relism present shows like breking everything thought professor unrelible nrrtor type nrrtive llows mny twists hppen nti estblishment messge grey res depicted mde become instnt success netflix strted strem personlly tht lso show strted lose qulity first two sesons incredible stnd cler tht show hve ended exctly would hve perfect obvious course greed lwys speks louder third seson not wful still find engged however things quickly turn seson relism went window pthetic gunshot fighting scenes stright hollywood ction movies poor dilogue sop oper reltionships even rmbo type chrcter tkes show essence sure show not end decent finle however impct connection mde first sesons fdes completely see th strted mzing ended fine somewhere long line lost identity sense tht could remembered one best shows mde,2
96,okay not good,wtching originl lnguge could importnt english dubbing trocious episodes turned subtitles lot different dilogue leds believe subtitle trnsltion true originl lnguge version dubbing would pper hve americnised mkes often implusible plot stupid thn mny implusible scenes bit slow boring crime ction show not wtch ntive tongue better shows wste dys,1
97,lame writing,think people got excited see foreign show spnish tht looks good look good screen tht sid story full holes little mkes sense difference well written script like breking poorly written one like one good one forget wtching money heist not possible criminls not discuss well hostges wether get bortion not hostge ble get cell phone fter cell phones confiscted first thing hostge hlf brin would put silent even prt body supposed ded see brething looking stomch hollywood resolved kinds chllenges long time think ment crete story bout guided tour people stuck inside strt develop bonds wht discuss ech would mke sense stopping third episode wtched mny gret shows yet see tht cnnot settle gve strs picture qulity,0
98,awesome drama,bsiclly fmily drm,1
99,quit episode,lmost never complin bout cting csting boy mericn dub trocious ctors feel like hve mostly miscst times dont even complin bout direction even first episode show plce not tht min time line jumps flshbcks live tht heist strts cuts rndom womn got impregnted mrried boss something feels terribly however usully complin bout story people ctions boy plnning heist yers not expect get shot mke hostges dig hole leve hve orders not kill people decide kill people told not tell nmes ech one gives dog nme womn tht brings heist two guys hve look fter girl fight ech girl ctivtes internet leder clm doesnt emnte fer nyone even drm rushed school girl politicins dughter receives text clssmte middle school trip kiss within seconds ttempt hve sex next minutes ppers shy pprently hve never tlked ech come movie wnts feel grnd fils every level everyone feels like idiot especilly overconfident lugh uncontrollbly without rel reson men bubbling morons wht red show doesnt get better,0
100,first two season good terrible,lst seson cretors series showed tht not hve cretivity becuse repet sme nrrtive gin gin begin good crime show plot holes interesting chrcters not deep memorble,2
101,great show showing black lives matter system,trying bring swths public behind drmticlly showing pples system gol misdirection bunch robbers tht hve killed terrorized public using clok robin hood well mde timely show esily mnipulted,2
102,opinion,wow wow wht bout cretivity tht seson strongest beutiful seson series,2
103,entertaining escapism,professor gng merry robbers embrk pln tht could hve scuttled semi competent police deprtment one spoilers tht goof clerly explined elsewhere site mnge drw sesons overll entertining fun wtch long not tke seriously gld wtched forget bout couple dys,2
104,great premise inept delivery,hve gret premise utterly ruined chrcters dumb things constntly trin five months everything told not get one thing things wrong expect tht otherwise conflict interest story chrcters dumb things gets nnoying fst anywy decent show chrcters piss pretty quick,1
105,light seven overrated unrealistic series,ppel clerly overhyped overrted series tht not men not shine certin prts men tht flls short delivering expecttions set mssive fnbse lughbly unrelistic times often thn not problem everything set picture hppening rel life could not shke feeling tht series could something truly mzing insted get sort sop oper tht frid tking rel risks frequently uses chep tricks insert ridiculous plot twists nrrtive series loves kill interesting chrcters continue truly becomes unwtchble hopefully stop mking worse mking nother sesons truly lost respect show fter bltntly copied interstellr fury rod music obvious tht disgusts one mention like mkers cdp felt like plgirism not ffect,1
106,good action drama super naive silly scenarios,relly not know show populr high rted truly mkes sense plot seson ridiculous group amateur small experience thieves involved impossible roberies oky profesor genious guy clever designs incredible plns succeed even even hve incredible pln tsk not less impossible kind roberies oky buy st nd sesons lets robery could done rel life would impossible lets maybe scenrio ltough nd seson hve impossible resques things oky buy show ended becuse fns mking money super ridicolous naive story continue gng millioners hving drems lives rio mkes stupid thing getting rrested becuse tht tokio forcing leder profesor mke pln resque profesor lunching times much impossible robery plan thn first originl one tht resque rio finly done keep stying bnk half spanish army entire police round surrounding killing hostges executioning killing rioting prisoners nothing lst episodes th seson good boy scout robers entire history rmed like rmbo nobody killing nyone seriously fells scenarios sesons even first two like written yers old kids super silly scenrios like realistic stories like stories films movies tht hve realistic scenrios mking wonder hey could tht true bsed ctul events ppel super fiction really naive story yes full ction drm emotions not bit relistic,1
107,ridiculously overrated,engging chrcters money heist script severl twists strted well unfortuntely however would seem tht sometime first seson someone relized udience wnted keep round tht moment went downhill quickly like mrmlde tht begn wter story order spred long could mke lst ultimtely mking lmost unppetizble wht seemingly would hve msterpiece llowed run predetermined time pce formt becme stretched mess much stretching something give pieced together tpestry developed mny glring plot holes tht even best blessed ble suspend belief order enjoy series film eventully find tedious dishertening tht one needs damn much keep story rils not innumerous plot holes telling story grows formulic episode often preposterously predictble cting give tke cst excels others not worse still chrcters much like originl title ppel lck rel substnce merely pper molded scene requires rther thn given lives bckgrounds breth purpose even though spout bout purpose lmost nuseum fscintion cretors seem hve either ctress plys tokyo rsul corber chrcter wht ntlie portmn chrcter leon professionl would hve grown like minds effort mke ppeling chrcter men wnted women could relte bent prody dmged superhero psycho tendencies top non sexy rging hot flip switch temper mommy issues street bike stunt cpbilities good fighting bilities depending scene yes hert gold titnium slush needs tending heling lso depending scene short wnting crete mzing powerful led chrcter morphed frnkenstein sultry eyes reminds quote pride prejudice never womn surely would fersome thing behold miss book rquel plyed itzir itu denied opportunity lest somewht blnced chrcter unlike tokyo chrcter purposefully built rquel chrcter plot device torn repetedly mde look ridiculous mny situtions order script chrcters first two sesons berlin especilly lso professor written well exception plot device sesons not rest min cst pretty likeble interchngeble scle would remiss not lso mention jos mnuel pog plys gnd njw nimri plys inspector alici sierr sesons two toughest notough guys seen series gret respective roles despite becuse money heist terrible chnge title engges especially beginning series becuse whole undiluted rich story beginning fluid deep moments brillince tht unfortuntely come round less less often brely see intent wtching listen reviews little low expecttions perhps like first discovered surprised enjoy expecting much disppointed rolls like gigntic wet blob hype,1
108,absolutely gripping entertaining despite flaws conveniences,unlike fns money heist hve wtched show sesons wtched four sesons pst month nticiption wit upcoming sesons not high others since sure tht shll wtching next seson soon fter not get time build expecttions high mny viewers might hve seson breks tht gives less objective view show seson pth breking set world not seen heist films absolutely mzing would directly spek bout seson undoubtedly fter brillince shown first sesons expecttions rife new seson wht new heist store wht possibly somewht underwhelming mny tht modus operndi heist less similr erlier heist tking control importnt government building holding hostges negotiting system fct even production design bnk spin looked pretty much similr royl mint escpe building still hppen end seson would interesting know tem gets time hopefully something imgintive thn digging underground tunnel route tken erlier another spect tht viewers might hve little not erlier sesons professor chrism first two sesons professor lmost equivlent god clculted dvnce could things wrong vrious junctures heist bckup pln lmost everything seson professor plns evlute heist sme level finesse plns mlfunction bckfire severl instnces thereby diluting demigod sttus given erlier sesons certinly chrcter nturl progression erlier seson unlike emotionlly disconnected tem members erlier time crries strong emotionl bggge girlfriend lso tem incresing proximity lmost gng members mkes vulnerble money heist lot technicl flws loopholes plot conveniences pcing fst writing tight full unexpected twists turns tht despite flws viewer still hooked show not hve strong hook points end ech episode nrrtive gripping entire course every episode severl subplots interesting lyers show chrcters robustly built sesons mzing brought bck one fvourite chrcters berlin seson well integrtion plot contribution heist smrtly done miss professor double chemistry rquel mstermind heist well love interest one mjor highlights first sesons new chrcters alici new negotiting cop pure evil sssin one rmy gndi bullet gone lose inside bnk chrcter hte tht perhps victory also mkers efficiently mke root group grey chrcters wrong side still wnt win older lot personlly bored tokyo become kind boring chrcter well performnce theories tht professor might die next seson money heist show survive long professor survives till keep entertined sme energy,1
109,good hiest series,money heist good show hving good ctor like flling like next one professor professor girlfriend mrino tht lso beutiful chrcter tht tht lso beutiful like series full suspense thriller ction everyone enjoy without boring,2
110,breaking bad meets ocean,lter divisive ction mintins tension without high body count movies like john wick tedious becuse killing repetitive nothe professor outwits police showing tht pressing ttck relly ide police cpt bites lip clls keeps body count low udience engged going get next mess lone mkes show worth wtching thn stndrd netflix offerings gree tht moves onto next big cper drgs bit still retins edge flshbcks overused feel like pcking mteril gret yet nother scene sitting tble lughing drinking exchnging quips strted skipping ble follow plot fine occsionlly would rewind felt missed context hte suspect tht mny resent tht writers portry uthorities evil mking nlogy fine locl police generlly good feds tke evil specificlly spnish equivlent homelnd security nis cia etc get impression writers tke subject seriously feds hve power bend rules hve gotten used spin relly hve resources depicted show dig love militry sel tem populr show guys fll hnd grendes sve bunnies showing elite security forces nything thn heroic not sit well ctnip power corrupts cmp,2
111,bored tears,not believe everybody wtching sop oper guns seems stupid little stories going forever see underlining neo mrxism mking ppeling left wing uprising europe,0
112,chewing gum,would love give series series not stretched like chewing gum sweet beginning juice remining could contined one mximum two sesons surprised spin police cpbility criminls going like shopping mll looking like specttor mzing,0
113,excess romance irritating couples,could professor mde robbery noob unstble people except berlin problem occurs rio tokyo flse love whole series gone downhill couples plese remove rio tokyo chrcter next seson would better,1
114,omg late party show remarkable,binge wtched jul know lte hve desire wtch first plce cuse not find people tht like turns fter wtching first completely love one chrcter guess yeh not professor berlin pedro alonso mzing show potrys chrcter well enough mke wtch show prt however turns ded end prt still witing prt cuse see ppers triler,2
115,not live billing,first two episodes series simply mzing clever witty professor inspector plyed gme mouse unfortuntely due fulty premise tht could build entire seson single event heist series doomed strt first two episodes pce becme quite slow boring forced throw lot filler order seson adding sopy romntic melodrm brought series hve not finished seson one yet episode not sure,1
116,classic thriller oomph dud moments,money heist cme highly recommended series mny friends not disppoint lmost msterpiece times filed keep dizzying plot build tht first episodes bout group robbers sperheded meticulous mstermind profesor lvro morte plns rob royl mint printing billion euros thereby ccomplishing biggest heist ever like heist stories times group crefully ssembled together scrtch brin whole opertion professor teches prepres tem robbers months tht pull perfect heist chosen city nmes thus clm composed berl pedro alonso hothed nrrtor heroine tokio rsul corber genius counterfeiter nirobi alb flores computer whizkid miguel herr fther son duo denver moscow muscles twin brothers come together tke hostges lock royl mint bout business printing money side fence brillint rquel murillo itzir itu heds investigtion ginst professors tem money heist fir shre ups downs throughout plot twists could not hve timed better even tht wht got nerve fct tht chrcter tokio whose point view whole heist explined every single time something goes south pln know point fingers probbly msterstroke cretor lex pin lwys intrigue dislike min chrcter yet love plot ended binge wtching sesons money heist loved prts thriller genre ignore unwnted red boring scenes would end loving series like fct tht ended properly fter second seson huge plus point something would definitely recommend nybody love thrillers ignore smll deficiencies yeh writers definitely believed phrse love blind stupid,2
117,bad dumb bad really bad,let strt initil premise occupying mint printing billion euro notes steling tht mny notes would weigh occupy minimum stndrd cen pllets ech stcked ridiculous meters high five thn fit continer nrrtion tells printed million first hours whole lot would tke hours dys cut stcked wrpped loded hve continue occuption together dys without police tking stndrd step cutting power hve get tht bulk removed tken nother loction wht going divide mongst ech lest two pllets bulk crry like lte night stoner ide tht nobody sense ever intervened people men stels pper money nymore think ever use bnk notes hve seril numbers word immeditely bnk nywhere ever ccept deposit cnnot lundered anyone lymn common sense sees immeditely tht whole premise bsurd sweet irony indeed tht uthor lughbly imprcticble ide known professor stilted hckneyed dilogue clumsy chrcter development lzy ction sequences first three episodes not understnd fellow reviewers complining wsted time three sesons ending gony,0
118,surprisingly fantastic,well thought story vst opportunities explore hve fun mny ngles storyline writers not disppoint not missing bet heck ngles would not hve relized writing clever tht never gives enough nticipte nything tht might hppen next honestly not fthom chrcter going get prticulr pickle sit witing trin crsh gron escpe stomch somehow writers keep trck look forwrd seeing prt lso grown fond ctors even might not hve strong cting skills good writing compenste tht given tht probbly spnish ctors going hve look things hve done enjoy chrcters behind heist fun wtch relly like well show cuses first like one key chrcters lot grow hte feel disposble unble picture significnce lter episodes except nnoy suddenly mgiclly liking gin even hppy tht writers figured tht bsurd scenes story lines somehow fter gron two mgiclly worked often good lugh not giving storyline detils like reviews feel tht best not know much going thn series description previews netflix show scenes sesons tke plce different loction different ngle intrigued rech prts story storyline relly something fun imgine prt prt prt prt,2
119,much soap opera,title sys exctly tht get robbery done not cre see bunch nude sex scenes fst forwrd much stuff could not wit end thnk god got end,0
120,stopped season,show seemed clever enough first qulity went time point tht seson none good prts first sesons left sop oper unnecessry screming drm flshbcks believble plot twists left reson root thieves left either got unwtchble end bsiclly not recommend whole thing wtch first sesons stop wsting time ending not mke worth kept mking unnecessry sesons profit ironic considering one erly ttrctions robinhood esque element hppy finlly not hve undeserved hype bout every time new seson strts,1
121,thrilling season,netflix recommended recommending wnt never ending mzing ride wtch suspenseful plot implcbly unfolding lot unexpected twists refreshing storyline unlike movies series bout bnk robberies professor gve justice role wht legend get ddicted show strt dmiring chrcters hting others not movie script wonderful work philosophy gret slp cpitlist system,2
122,wow wow wow,best heist series ever seen not even close absolutely fntstic well cted exciting multiple intriguing twists highly recommend nything foreign lnguge wtch subtitles insted dubbed voices get full emotion ech ctor especilly necessry intense show hve wtched first two sesons felt complete ssume originlly writers well might leve sounds like seson not gret seson wful,2
123,season awesome not best,give rtings seson totlly westruck first two sesons wht fntstic performnce rtist hts seson not best story plot lost chrm,1
124,ejjjj,first episode extremly good lst oposit first prt big professor portrit scene russin seril good give chnce unstoppble wtch episode lst episode nnoying drm drm drm jokes missing pro robbers become mteurs episodes become lme like convestions tlk tlk tlk nothing interesting poor seril,0
125,starting well becomes predictable repetitive,strted wtching since recommendtions bout also quite interesting spnish series fiorst seson strts well thge stging quite clever heist seson two felt drwn without dding prticulr intrigue seson three bsiclly becomes copy first seson new heist quite similr setting would hve much interesting story much round lives fugitives world lck complexity chrcters shllow stereotype overll cting quite verge rel strs shine kept wtching three sesons little disppointed end expected sure spend time next seson quite sure mke,1
126,masterpiece,first show money herist gret series msterpiecemost fvourite chrcter professormost fvourite song bell cio,2
127,fair review among many extremes,rte show not qulity becuse wtched undenibly enjoyed ction romnce reminded lot breking dexter sense tht endless mistke fix mistke mistke fix mistke loop hoping min chrcter profesor not get cught identified list stuff becuse lot reviews better job thn listing flws plot holes depth wnt mention tht show might better insted filming robbery hppening occisonl flshbcks opened robbery first episode spent seson going plnned next execution robbery next boiling point cught whtever think tht directing pproch would mde better becuse bits pieces get flshbcks yes well plced throughout mke not relly relte chrcters much fell tht built upon first flws hve hrd time believing police force unless mture would mess much whole thing angel leving voivemils tht coincidentlly delivered everywhere except counts super fke fct profesor chnce fix ech mistkes unlikely like would hve physiclly mny plces tht not min girl tokyo plce tht tem super errtic never used logic not know wht profesor tht would help considering smrt shoot downs police thieves not mke sense lwys injured everywhere except ftl orgns hell tokyo get tht bike mde sense like missed everything not even tire grzed force trined ops wht like though love tringles ctors plyed well except side chrcters like aridne lso tokyo boyfriend hve enjoyed binging much hve not enjoyed show like reltive others perfect lso usully someone not wtch americn trsh movies brinless shows not americn essence filmogrphy hollywood hve fir wht thought looking good sides,2
128,unexpected ending,moneyheist hevy seson unexpected ending thoroughly enjoyed itdefinitely seson toughest hiest gonn hook till end sme seson mde spolier nirobi injuredthey confirmed seson not wit,2
129,pleasure ending story discovering end,wht mzingly journey cleverly done series production fst pced ction pcked pssionte drm tht keeps wondrous tilspin ctors performnces converge pssion tht trnsforms responding empthy heroine deeds ctions outstnding one enjoyble show imho mrk gret show tht end brings sheer joy,2
130,,number netflix show love not wit prt supposedly th th prts,2
131,possible pull ultimate victimless crime,professor hopes plnning obsessively yers refining fther originl scheme kind homge unusul criminl unworldly socilly guche possibly little utistic plnning meticulous lso crefully ssembles trins tem job like plns without deths destruction lest tht theory mybe humn nture surprises store beutifully executed originl spnish series tht vilble subtitled netflix acting leds strong tken time vilble series depth bckground chrcters structure suspense plot sustined end second series things turn simply blck white getting tht spnish sometimes tlk fst following subtitles not lwys esy worth effort mistkes trnsltion phrses seem little jrring unnturl english smll issue excellent series,2
132,clever inventive bright,nice surprise gret story suspenseful plot implcbly unfolding lot unexpected twists lot lredy sid cting impeccble wht remrkble writing inventive clever never thought tht story would keep cptivting episodes beginning think would wrpped episodes wht come never gets boring not minute hours lter spell well done,0
133,season blahh,wtching seson hve strs wtching seson tking bck two strs seson worthless mny mistke gurd got role min chrcter,2
134,overrated,strt wtching series thought tht good experience lthough never dubbing nor spnish lnguge first couple episodes good hve beutiful story ruined unnecessry scenes tlk episodes finish first heist much become boring sesons get bnk spin give brek stop mking story longer ruining moment neymr series knew going neymr guess wht spek bout footbll stupid chrcters literlly tokyo sid tht professor not tell police fire bck wht hell gndi immortl nirobi styed live episodes reson tokyo nnoying ctor rturo live fill episodes episodes must hve rturo trying something not move story forwrd rio kid berlin killed seson reson see flshbck literlly every freking episode series sesons minutes episodes not flshbcks filled scenes ctors tht not exist,1
135,intelligent thriller,without giving much probbly best robbery thriller better thn one detiled typiclly usa show lot fluff wste time psychologicl elements wht people rect predict behvior crete pln bsed tht blunt true stockholm syndrome rel acting hve bit top hrdly judge since not originl tongue overll enjoyble hours cpped gret min theme song p love netflix buying qulity shows world wste money overpy show runners not cretive literry pick whtever wnt world,2
136,buckle wild ride,gret action sop chrcter development pthos ripping story wht not like not listen reviewers buckle wild ride sure crzy ripping royl mint spin etc wht entertined lot going wild excellent believble chrcters wild believble stories excellent tension ction clever stuff lots twists turns excellent script memorble quotes relly enjoyed follow end sesons good every episode rnge strs thinking bout,2
137,polished frustratingly confused pacing,series quite lot going problem not quite know wht wnts psychologicl heist bsed thriller depth chrcters chrcter driven psychologicl heist bsed thriller keeps switching tension unfolding heist lingering lmost pointless exchnges chrcters tht left viewer confused frustrted sub plot mouse rquel nothe professor enticing thrilling enough keep wtching end first seson logic plot becme ludicrous bre investing much emotion success heist gng hve predictbly fll prt left feeling empty frustrted hoping series would not cop clich crime not prticulrly fter developing chrcters sides morlly mbiguous wrong despite slick production innovtive writing intriguing chrcters left feeling similr extreme buyers remorse wnted time bck felt utterly disstisfied,1
138,overrated,rting cting predictble plot silly illogicl heist pln nnoying chrcters low intelligence rel criminls hve much higher intelligence lost interest fter se,0
139,nice,robbers not rob bnk printing mchine robber leder dtes chief investigtor order perfect perfect crime police find clues gin gin solved professor psychologicl public opinion gunfight,2
140,incredibly entertaining,entertining exciting gret chrcters gret cting superb ction driven plot even dubbing fntstic well done tht rter minute two forget not english lnguge show,2
141,umm episode list season,wrong seson episode listed rel episodes,2
142,incredible,best spnish show gret cting ction suspense emotions mny twists seson cme outseson seson seson seson,2
143,binge watched something crazy,given series given bout odd wtches well written gret ction gret chrcters gret twists sexy violent bloody well filmed high budget,2
144,goes way long,episodes strted wtch enjoyed fter bout decided chk numbers decided persevere thinking would end went unbelievbility not finish nything drgged long scked,1
145,nothing better watch,overrted first two sesons trundle long entertining enough third seson strts well time get second heist turned mush score tht begins get irritting becuse feels like showcsing songs drwn love scenes tht mke wnt puke could not tke thn se,1
146,perhaps,engge criticl objective viewpoints regrding blown series esy fll trp robin hood type movie mybe tht intention writers fils becuse plot lines ludicrous full holes cting one dimensionl worst one not feel empthy even cre wht hppens chrcters,0
147,best,styed series till nd series potentilly good storyline thts squndered poor script seriously mteur cting,0
148,started strong,holes cme long midwy thru st seson filure end st gret production look plyers disppointment not continue nd,1
149,not waste time grosss,seson three complete men could put together nonsense dngerous known rubbers cme bck sme fce sme ppernce sme bloody pln bck europe spin directly ntionl bnk without known tking gold melting fcilities inside building heroes mong people gross speeches bout love humnity disgusts ske supposed entertining not morlity lesson,0
150,art heist twist turn,loved flick gret tht netflix coming series becuse series flop spin hit globlly fter netflix cquired every element story content screenply spices twist turn tht viewer completely unexpect completely got ddicted styed time completed sesons hving sid tht void not like violence,2
151,lots nonsense afterwards even started good,overrted show hve ever seen downhill hrd tht hurt psychologiclly romnce stupid sense plot chrcters beginning seem pro find lter tht bunch mteurs mke hte chrcters insted develop insteresting ones well see show clls plottwist drm like things tht hppens tht think dmn nice rest rguing pointing guns lol ending cliche story plot mny fils becuse potencil downhill show,0
152,good show,wtched continuous long long long hours relly gret series chrcter superb strted thinking like professor work hving pln wht tht goes wrong omg professor relly epic chrcter series denvor sid going surrender white hnky outside sme time police not enter,2
153,overhyped trash,not know wht everyone else smoking verge show dumb writing yeh look cool tht red hoodie msk tht not even cre bout single chrcter mess series tht voiceover tokyo nnoying wtched seson one skipping filler dilogues however sense dnger thrill not enjoyed not find single reson wtch nymore nonsense geniune giving str,0
154,ironic robbery professor,give dmn chnce st episode keep excited trilled whtever hppens ech evry episode brings new twist story lwys ech seson meningful worthful endings min questions still robbers side well nswer tht would tke pges becuse hecking crzy th seson coming lets hope thw best lso wtch series st two sesons still worth,2
155,average show not great,first things clerly speking bout show verge show not gret personlly thinking show overhyped second thing money heist lpel seson prt prt interesting wesome fter seson prt prt pthetic story wise chrcter wise direction wise totlly messed literlly feel wtching show chrcters nnoying irritting except professor berlin tokyo chrcter irritting whole series min thing know wht police cni intelligence gency dumb whole prts tht relly funny thing show possible explin show cretors polices security dumb seriously tht series mind blowing overhyped opinion people sid gret show even comprison time gret show breking sid people not gret show overrted verge show hve lot time wtch series suggest prt good otherwise rest prts disppointed lst prts overdrmtic unresonble twists hope prt better thn lst prt lst hope time show completely end rting prt prt prt overll averge rting prts,2
156,perfect series binge watching,first series ever binge wtched show fst pcked ction pcked chrcters well defined connect instntly plot execution story line good hrd miss one,2
157,worth look spoilt absurd timeline,hve tht despite somewht corny chrcters enjoying show keeps wnting know wht next wht going hppen tht sitution going turn etc etc full mrks however gigntic elephnt room timeline films series ply round timeline effect worked one mind lbeit little rtistic licence nother plnet episode seson th episode dys hours heist simply not plausible tht hppened people recovery rtes shot gods ske love ffirs even mount trvel moving round tht gone completely bsurd tht expected believe tht hppened course bit dys minus lest hours sleep imho mssive oversight tht point view renders production lughing stock sense time pssing tht hndled criticl productions specificlly tht specificlly trck time durtion hppening hve completely filed would hve better leving viewer ssume long gone ignore spect quite good series,1
158,beware show past season,count one finger number shows tht good pst seson mybe tht good pst seson expected get lughble,0
159,money heist,bnk scene bsolutely show cling treted people wht writer director thinking mke people scred insted robbing bnk,1
160,overacting horrible voice dubs,strted pretty intriguing storyline sort like inside lrger dog afternoon order stretch killed momentum nrrtive strted mking chrcters stupid wys keep story going becuse spend much time ctors weknesses become glring horrible overcting english voice dubs kind would get kung movies,1
161,inside man bite,one tht sees incredible resemblnce spike lee denzel wshingtons inside tlk bout originl lol gve effort,1
162,extremely soapy enjoyable logic importance,well kind like gossip girl heist movie combintion nothing mkes much sense bunch boy girl scouts bnk robbers outgunning militry long open well run hospitl gold melting enterprise quintessentil pck movie dilog not decide wnt relly stupid pretentious cmerwork good production design good cting good writing ismrt brinded first two sesons fine netflix bought big money injection hundreds thousnds spent public reltions goes downhill quickly endlessly repetitive,1
163,smart worth time,show smrt interesting not left bored even minute cler schedule strt wtching becuse gonn wnt binge wtch whole seson one sitting,2
164,dissapointing,spoilers alert show esily loved nd heist cme long duno sesons tht think probs seson much gun bttle scenes one ever dying brely everyones supposedly trined hve good hit smll tiny trgets like knife held cnt seem hit nyone group stnding side side fcing opponents fce fce men even idiot never fired gun could hold trigger spry left right sure hit multiile trgets stnding infront line lol like stnding fce fce shoot ech holding guns wht sidewys imin ceiling ground lmo director person coordinting gun bttles terrible good show seemingly professor wys mny mny bckup plns even things didnt even know would occur lol seems know without ever looking blueprints heted bttle moments strtegize ttck formtions plns even look like grbs blue prints sets seconds lter got pln try hrd incorporte hert felt lovey moments tht ruining qulity scenes like tking str rted scenes decides force love moment inbetween gunfight mkes even less relistic qulity plummets cuse terrible decisions groundbreking show honestly strted drgging things long ides introduce viewers chrcters psts scenes becomes convoluted messy moments psts tht dont connect scene ctully tke moment becuse dded disspointed thing good acting wnt qulity writing directing would stop wtching first heist ends good ending till mde sesons,1
165,not supposed seasons,series mde sesons spnish network purchse rights series netflix series continued nother sesons reson completely cler ern money cost seril drop becuse uthor cretor series not present sesons story robbery ends end seson netflix continue series cost cuse destruction end seson wnt finish seson get rid,1
